"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate"
"Meyers, Jake","676694","2024","28","461","513","101","65","20","3","13","117","35",22.8,6.8,".219",".360",".286","0.646",".240",".393",".285",".308",".307",".153",68.6,7.8,10.6,8,31.6,23.8,"7","31","88.2","14.4",34.8,6.8
"Walker, Christian","572233","2024","33","479","552","120","68","26","0","26","133","55",24.1,10,".251",".468",".335","0.803",".249",".465",".343",".354",".341",".216",75,52.8,15.8,12.2,26.1,20.2,"7.5","32","91.2","16.6",35,13.3
"Soler, Jorge","624585","2024","32","493","574","119","63","34","1","21","141","68",24.6,11.8,".241",".442",".338","0.780",".247",".454",".340",".349",".345",".207",75.4,57,15.8,11.5,29.8,21.7,"7.9","12","90.5","17.9",33.4,12.6
"Lowe, Nathaniel","663993","2024","28","486","565","129","96","16","1","16","125","71",22.1,12.6,".265",".401",".361","0.762",".254",".386",".337",".329",".354",".132",73.3,29.3,15.2,12.4,28.3,23,"7.3","23","88.9","7.7",32.6,5.8
"France, Ty","664034","2024","29","479","535","112","75","24","0","13","114","38",21.3,7.1,".234",".365",".305","0.670",".229",".394",".296",".305",".302",".166",71,14.3,12.1,9.3,31.2,24.1,"7.6","17","88.7","12.9",30.5,7.3
"Turner, Justin","457759","2024","39","460","539","119","84","24","0","11","95","59",17.6,10.9,".259",".383",".354","0.737",".254",".389",".327",".330",".353",".135",65.1,0.8,5,4.3,32.5,27.9,"6.3","16","87.1","17.8",40.1,4.6
"Rooker Jr., Brent","667670","2024","29","546","614","160","93","26","2","39","177","59",28.8,9.6,".293",".562",".365","0.927",".269",".570",".392",".383",".344",".301",73.7,37.2,18,12.5,32.5,22.4,"7.1","29","91.9","18.9",38.3,16.6
"Raleigh, Cal","663728","2024","27","546","628","120","70","16","0","34","176","70",28,11.1,".220",".436",".312","0.748",".235",".486",".323",".347",".327",".251",74.5,45.1,15.9,11.3,28.5,20.2,"7.8","15","91","21.2",35.6,15.4
"Young, Jacob","696285","2024","24","468","521","120","92","24","1","3","102","30",19.6,5.8,".256",".331",".316","0.647",".260",".326",".290",".290",".320",".066",68.2,1.4,8.9,7.4,35.7,29.4,"6.9","20","85.8","4",28.1,1.6
"Langford, Wyatt","694671","2024","22","499","557","126","81","25","4","16","115","51",20.6,9.2,".253",".415",".325","0.740",".260",".434",".321",".333",".333",".174",74.5,48.2,18.4,14.2,31.7,24.4,"7","8","89.6","16.6",31.3,9.3
"Judge, Aaron","592450","2024","32","559","704","180","85","36","1","58","171","133",24.3,18.9,".322",".701",".458","1.159",".315",".742",".476",".484",".453",".427",77.2,75.1,25.4,17.9,33.5,23.6,"8.2","16","96.2","19",40.8,26.9
"Swanson, Dansby","621020","2024","30","534","593","129","84","27","2","16","144","54",24.3,9.1,".242",".390",".312","0.702",".248",".425",".307",".324",".319",".177",71.7,12.8,15.4,11.3,33.4,24.4,"7.4","22","89.4","10.4",32.6,9.2
"Rafaela, Ceddanne","678882","2024","23","544","571","134","91","23","5","15","151","15",26.4,2.6,".246",".390",".274","0.664",".235",".380",".286",".278",".264",".145",70.1,6.8,11.5,7.9,30.5,20.9,"7.5","24","86.6","14.9",34.9,7.5
"Frelick, Sal","686217","2024","24","475","524","123","95","22","4","2","78","39",14.9,7.4,".259",".335",".320","0.655",".248",".306",".292",".277",".310",".059",66.3,2.6,6,5.3,36.1,31.7,"6.9","10","83.4","9.7",30,0.8
"Doyle, Brenton","686668","2024","26","542","603","141","90","24","4","23","153","46",25.4,7.6,".260",".446",".317","0.763",".259",".448",".328",".333",".320",".189",70.9,8.1,15.3,10.8,34.4,24.3,"7.4","19","89.2","13.2",37.4,10.5
"Hernández, Teoscar","606192","2024","31","589","652","160","93","32","2","33","188","53",28.8,8.1,".272",".501",".339","0.840",".253",".496",".360",".348",".323",".243",73.3,32.1,18.6,12.6,30,20.2,"7.8","29","90.6","10.3",33.8,14.9
"Smith, Josh","669701","2024","26","523","592","135","91","30","1","13","121","46",20.4,7.8,".258",".394",".337","0.731",".243",".356",".323",".304",".325",".113",70.1,6.8,11.8,9.2,35.7,27.8,"6.8","10","87.8","15.4",33.7,3.7
"Neto, Zach","687263","2024","23","542","602","135","77","34","1","23","140","39",23.3,6.5,".249",".443",".318","0.761",".237",".423",".330",".318",".308",".186",71,14.7,13.9,10.4,33.8,25.4,"7.1","37","88.5","12.3",29,8.4
"Marte, Ketel","606466","2024","30","504","583","147","86","23","2","36","106","65",18.2,11.1,".292",".560",".372","0.932",".298",".549",".391",".395",".382",".252",73.7,40.5,20.3,16.2,38.2,30.6,"7.6","6","94","9.4",33.7,12.3
"García, Adolis","666969","2024","31","580","637","130","78","27","0","25","177","45",27.8,7.1,".224",".400",".284","0.684",".229",".422",".296",".308",".291",".193",71.9,23,16.4,11.1,33.4,22.6,"7.9","14","91","15",33.7,12.5
"Chourio, Jackson","694192","2024","20","528","573","145","91","29","4","21","121","39",21.1,6.8,".275",".464",".327","0.791",".278",".438",".339",".330",".330",".160",73.2,34,17.9,13.5,34.5,26,"7.4","22","89.7","7.6",33.2,7.8
"Chisholm Jr., Jazz","665862","2024","26","562","621","144","95","21","4","24","152","53",24.5,8.5,".256",".436",".324","0.760",".242",".423",".327",".318",".313",".180",72,23.6,15.2,10.7,32.4,22.8,"7.5","11","89.7","11.4",29.6,9.7
"Harper, Bryce","547180","2024","31","550","631","157","85","42","0","30","138","76",21.9,12,".285",".525",".373","0.898",".271",".488",".380",".361",".362",".216",74.1,41.5,17.6,13.2,28.1,21.1,"7.3","14","91.1","13.5",36.1,10.6
"García, Luis","671277","2024","24","500","528","141","97","25","1","18","86","27",16.3,5.1,".282",".444",".318","0.762",".280",".460",".328",".333",".317",".180",71.7,22.7,16.1,12.8,35.2,28,"7.3","10","89.1","8.2",32.8,8
"India, Jonathan","663697","2024","27","533","637","132","87","28","2","15","125","80",19.6,12.6,".248",".392",".357","0.749",".269",".418",".333",".354",".378",".150",71.7,22.2,12.4,10.2,30.7,25.3,"7.2","25","87.2","13.5",39.3,7.7
"Gurriel Jr., Lourdes","666971","2024","30","513","553","143","101","22","2","18","101","29",18.3,5.2,".279",".435",".322","0.757",".271",".428",".327",".321",".315",".157",70.6,9.5,13.4,10.9,31.5,25.7,"7.5","12","88.4","15.7",33.8,6.7
"Abrams, CJ","682928","2024","23","541","602","133","78","29","6","20","128","40",21.3,6.6,".246",".433",".314","0.747",".252",".418",".322",".323",".321",".166",72.3,23.9,13.5,10.4,31.9,24.7,"7.5","31","88.2","15.1",33,6.9
"Bell, Josh","605137","2024","31","538","603","134","90","23","2","19","120","51",19.9,8.5,".249",".405",".319","0.724",".243",".409",".317",".315",".315",".166",70.4,15,15.4,11.6,36.1,27.2,"7.9","14","88.9","10.5",31.4,7.6
"Stott, Bryson","681082","2024","26","506","571","124","92","19","2","11","93","53",16.3,9.3,".245",".356",".315","0.671",".258",".370",".296",".309",".329",".112",68.2,1.9,8.8,7.5,34.8,29.7,"7.1","22","87","14",35.3,3.6
"Santana, Carlos","467793","2024","38","521","594","124","75","26","0","23","99","65",16.7,10.9,".238",".420",".328","0.748",".247",".422",".326",".330",".337",".175",71.8,19.4,13.6,10.7,36.1,28.3,"7.6","8","89.2","16.1",30.9,7.3
"Schanuel, Nolan","694384","2024","22","519","607","130","98","19","0","13","103","68",17,11.2,".250",".362",".343","0.705",".260",".364",".315",".322",".353",".104",65.2,2.4,5.6,4.9,36.6,31.8,"6.6","13","86.1","10.3",36.4,3.5
"Goldschmidt, Paul","502671","2024","36","599","654","147","91","33","1","22","173","47",26.5,7.2,".245",".414",".302","0.716",".258",".464",".310",".333",".314",".206",72.5,24.3,18,13.3,33.5,24.8,"7.8","10","91.2","13.1",34.3,10.7
"Arcia, Orlando","606115","2024","29","551","602","120","79","24","0","17","128","41",21.3,6.8,".218",".354",".271","0.625",".208",".331",".273",".263",".265",".123",70.9,13.5,12.3,9.3,34.1,25.8,"7.9","25","88.2","8.6",29.9,5.3
"Olson, Matt","621566","2024","30","600","685","148","81","37","1","29","170","71",24.8,10.4,".247",".457",".333","0.790",".249",".454",".339",".342",".337",".206",73.8,38.5,15.1,11.2,26.5,19.5,"7.3","11","91.5","16.1",35.4,12.4
"Steer, Spencer","668715","2024","26","574","656","129","71","34","4","20","137","72",20.9,11,".225",".402",".319","0.721",".237",".387",".316",".317",".330",".150",71.6,13.6,12.7,10,32.5,25.6,"7.4","21","88","17.4",34.2,6.4
"Adames, Willy","642715","2024","28","610","688","153","88","33","0","32","173","74",25.1,10.8,".251",".462",".331","0.793",".248",".474",".342",".344",".329",".227",73.6,33.5,13.1,9.5,28.7,20.9,"8.1","9","88.6","20.6",38.2,12
"Alonso, Pete","624413","2024","29","608","695","146","81","31","0","34","172","70",24.7,10.1,".240",".459",".329","0.788",".246",".470",".340",".345",".335",".224",75.3,53,18.4,14,29.6,22.5,"7.3","20","89.8","14.4",30.5,13.2
"Paredes, Isaac","670623","2024","25","542","641","129","84","25","1","19","105","76",16.4,11.9,".238",".393",".346","0.739",".224",".348",".327",".308",".336",".124",68.2,4.8,6.5,5.4,29,24.3,"8","13","85","22.4",37,4.5
"Bleday, JJ","668709","2024","26","572","642","139","72","43","4","20","125","67",19.5,10.4,".243",".437",".324","0.761",".244",".404",".330",".319",".325",".160",71.7,16.5,15.5,11.8,35,26.5,"7.3","24","88.5","18.6",37.1,8.3
"Naylor, Josh","647304","2024","27","563","633","137","79","27","0","31","105","58",16.6,9.2,".243",".456",".320","0.776",".257",".448",".332",".334",".333",".190",72.8,32.2,15.3,12.1,33.8,26.8,"7.6","11","89.9","11.1",30.1,8.4
"Cronenworth, Jake","630105","2024","30","577","656","139","90","29","3","17","118","61",18,9.3,".241",".390",".324","0.714",".263",".429",".315",".338",".345",".166",69.4,6.1,11.7,9.7,31.9,26.4,"7.1","11","88.6","13.9",35.4,7.8
"Tovar, Ezequiel","678662","2024","22","655","695","176","101","45","4","26","200","23",28.8,3.3,".269",".469",".295","0.764",".235",".406",".324",".289",".265",".171",71.3,18.9,11.8,8,30.6,20.9,"7.5","17","88.8","18.9",38.5,9
"Reynolds, Bryan","668804","2024","29","622","692","171","115","29","3","24","156","57",22.5,8.2,".275",".447",".344","0.791",".272",".472",".343",".352",".344",".200",71.5,17.1,17.4,12.7,36.6,26.7,"6.8","31","89.9","9.4",37.5,9.6
