"last_name, first_name","player_id","year","p_formatted_ip","p_era","pitch_hand","n","n_ff_formatted","n_sl_formatted","n_ch_formatted","n_cu_formatted","n_si_formatted","n_fc_formatted","n_fs_formatted","n_kn_formatted","n_st_formatted","n_sv_formatted","n_fo_formatted","n_sc_formatted","n_fastball_formatted","n_breaking_formatted","n_offspeed_formatted"
"Morton, Charlie","450203","2018","167.0","3.13","R","2686","31.1",,,"29.3","27.1","6.3","6.3",,,,,,"64.4","29.3","6.3"
"Lester, Jon","452657","2018","181.2","3.32","L","3108","45.5",,"9.2","15.7","4.9","24.7",,,,,,,"75","15.7","9.2"
"Kennedy, Ian","453178","2018","119.2","4.66","R","2054","57.4","1.5","10.3","19.4","1.2","10.3",,,,,,,"68.8","20.9","10.3"
"LeBlanc, Wade","453281","2018","162.0","3.72","L","2443","7.6","0.1","29.8","9","27.8","25.6",,,,,,,"61.1","9.1","29.8"
"Scherzer, Max","453286","2018","220.2","2.53","R","3480","50.1","16.6","15.7","7.9",,"9.7",,,,,,,"59.8","24.5","15.7"
"Richard, Clayton","453385","2018","158.2","5.33","L","2380","10.1","28.4","5.6",,"55.9",,,,,,,,"66.1","28.4","5.6"
"Arrieta, Jake","453562","2018","172.2","3.96","R","2759","1.7","23.6","10.6","10.3","53.8",,,,,,,,"55.5","33.9","10.6"
"Price, David","456034","2018","176.0","3.58","L","2714","13.3",,"22.2","2.9","33.4","28.2",,,,,,,"74.9","2.9","22.2"
"Happ, J.A.","457918","2018","177.2","3.65","L","3049","59.3","12.7","12.3","1.7","14.1",,,,,,,,"73.3","14.4","12.3"
"Lynn, Lance","458681","2018","156.2","4.77","R","2934","44.9",,"1.9","9.1","32.5","11.6",,,,,,,"89","9.1","1.9"
"Gonzalez, Gio","461829","2018","171.0","4.21","L","3016","29.3",,"22.9","20.7","27.1",,,,,,,,"56.4","20.7","22.9"
"Estrada, Marco","462136","2018","143.2","5.64","R","2497","49.3",,"37","7.6",,"6",,,,,,,"55.4","7.6","37"
"Nova, Iván","467100","2018","161.0","4.19","R","2528","31.5",,"11.9","21.1","35.5",,,,,,,,"67","21.1","11.9"
"Chacín, Jhoulys","468504","2018","192.2","3.50","R","3006","13.1","44.8","2.1","0.5","34.6",,"4.9",,,,,,"47.7","45.3","7"
"Carrasco, Carlos","471911","2018","192.0","3.38","R","2870","31.3","31.7","16.3","7.3","13.3",,,,,,,,"44.6","39.1","16.3"
"Ross, Tyson","475115","2018","149.2","4.15","R","2497","43.4","41.4","1.3",,"6.8","7",,,,,,,"57.3","41.4","1.3"
"Kershaw, Clayton","477132","2018","161.1","2.73","L","2360","40.7","42.1","0.5","16.4","0.3",,,,,,,,"41","58.6","0.5"
"Cashner, Andrew","488768","2018","153.0","5.29","R","2647","25.8","12.9","13.1","13.6","34.7",,,,,,,,"60.4","26.4","13.1"
"Quintana, Jose","500779","2018","174.1","4.03","L","2892","49.7",,"6.8","24.1","18.6",,,,,"0.8",,,"68.3","24.9","6.8"
"Minor, Mike","501985","2018","157.0","4.18","L","2548","48.3","21.1","19.5","10.8","0.3",,,,,,,,"48.6","31.9","19.5"
"Archer, Chris","502042","2018","148.1","4.31","R","2503","36.4","41.7","9.9","1.5","10.5",,,,,,,,"46.9","43.1","9.9"
"Gibson, Kyle","502043","2018","196.2","3.62","R","3234","23.3","20.8","11","10.5","34.4",,,,,,,,"57.7","31.3","11"
"Cobb, Alex","502171","2018","152.1","4.90","R","2437","0.1",,,"22","51.5",,"26.4",,,,,,"51.6","22","26.4"
"Leake, Mike","502190","2018","185.2","4.36","R","2796","2.7","11","18.7","10.9","34.7","22.1",,,,,,,"59.4","21.9","18.7"
"Anderson, Chase","502624","2018","158.0","3.93","R","2600","40.8",,"18.8","17.9","12.4","10",,,,,,,"63.3","17.9","18.8"
"Holland, Derek","502706","2018","171.1","3.57","L","2902",,"21.8","8.8","12.5","56.9",,,,,,,,"56.9","34.3","8.8"
"Bettis, Chad","518452","2018","120.1","5.01","R","1922","40.6",,"26.6","12.5","1.4","18.8",,,,,,,"60.8","12.5","26.6"
"Bumgarner, Madison","518516","2018","129.2","3.26","L","2046","34.3",,"7.7","22.8","0","35.2",,,,,,,"69.5","22.8","7.7"
"Duffy, Danny","518633","2018","155.0","4.88","L","2775","38.1","16.2","18.6","9.5","17.6",,,,,,,,"55.7","25.7","18.6"
"Harvey, Matt","518774","2018","155.0","4.94","R","2530","28.6","24","11.5","5.5","30.5",,,,,,,,"59.1","29.4","11.5"
"Porcello, Rick","519144","2018","191.1","4.28","R","3095","20.1","24.4","11.7","14","29.7",,,,,,,,"49.8","38.4","11.7"
"Sale, Chris","519242","2018","158.0","2.11","L","2524","39","34.5","17",,"9.5",,,,,,,,"48.5","34.5","17"
"Zimmermann, Jordan","519455","2018","131.1","4.52","R","2073","43","33.2","5.6","16","2.2",,,,,,,,"45.2","49.2","5.6"
"Teheran, Julio","527054","2018","175.2","3.94","R","2797","42.3","21.8","9.5","6.7","19.6",,,,,,,,"61.9","28.5","9.5"
"Anderson, Tyler","542881","2018","176.0","4.55","L","2848","39.6",,"22.9","3.8","5","28.7",,,,,,,"73.3","3.8","22.9"
"Cole, Gerrit","543037","2018","200.1","2.88","R","3256","50.3","19.9","4.5","19.2","6.1",,,,,,,,"56.4","39.2","4.5"
"Gaviglio, Sam","543208","2018","123.2","5.31","R","2039",,"28.4","11.2","5.7","54.7",,,,,,,,"54.7","34.1","11.2"
"Gray, Sonny","543243","2018","130.1","4.90","R","2246","26.9","3.7","2.5","23","30.3","0.5",,,"13.1",,,,"57.7","39.8","2.5"
"Hendricks, Kyle","543294","2018","199.0","3.44","R","3046","17.4",,"30.6","7.6","44.4",,,,,,,,"61.8","7.6","30.6"
"Montgomery, Mike","543557","2018","124.0","3.99","L","1944","18.7",,"19.9","21.8","32.2","7.5",,,,,,,"58.3","21.8","19.9"
"Odorizzi, Jake","543606","2018","164.1","4.49","R","2979","54.1","21",,"4.9",,"2.4","17.7",,,,,,"56.5","25.9","17.7"
"Roark, Tanner","543699","2018","180.1","4.34","R","2954","19.9","12.7","11.9","14","39.4","2",,,,,,,"61.4","26.7","11.9"
"Strasburg, Stephen","544931","2018","130.0","3.74","R","2156","45.4","8.7","19.9","19.5","6.5",,,,,,,,"51.9","28.2","19.9"
"Bauer, Trevor","545333","2018","175.1","2.21","R","2850","36.8","0.5","7","26.7","5.3","10.4",,,"13.3",,,,"52.5","40.5","7"
"Tanaka, Masahiro","547888","2018","156.0","3.75","R","2396","22.6","33.2",,"3.9","5.4","4","30.8",,,,,,"32","37.1","30.8"
"Stripling, Ross","548389","2018","122.0","3.02","R","1930","39.3","25.2","11","21.7",,"2.8",,,,,,,"42.1","46.9","11"
"Wheeler, Zack","554430","2018","182.1","3.31","R","2881","43.6",,"5.7","10.5","14.6","19.1","6.5",,,,,,"77.3","10.5","12.2"
"Ureña, José","570632","2018","174.0","3.98","R","2770","2.1","21.6","19","1.8","55.6",,,,,,,,"57.7","23.4","19"
"Boyd, Matthew","571510","2018","170.1","4.39","L","2854","34.2","30.9","8","12.3","14.6",,,,,,,,"48.8","43.2","8"
"Corbin, Patrick","571578","2018","200.0","3.15","L","3138","20","41","1.1","9.3","28.5",,,,,,,,"48.6","50.3","1.1"
"Fiers, Mike","571666","2018","172.0","3.56","R","2667","38.3","17.4","18.3","15.8","10.2",,,,,,,,"48.5","33.3","18.3"
"Heaney, Andrew","571760","2018","180.0","4.15","L","2754",,,"16.6","25.2","58.2",,,,,,,,"58.2","25.2","16.6"
"Matz, Steven","571927","2018","154.0","3.97","L","2692","0.6","8.5","15.8","15.7","59.4",,,,,,,,"60","24.2","15.8"
"Mikolas, Miles","571945","2018","200.2","2.83","R","3004","26.7","25.9","4.4","21.4","21.6",,,,,,,,"48.3","47.2","4.4"
"Paxton, James","572020","2018","160.1","3.76","L","2595","63.5",,"0.4","21.6",,"14.5",,,,,,,"78","21.6","0.4"
"Skaggs, Tyler","572140","2018","125.1","4.02","L","2146","45.8",,"13.2","28.2","12.8",,,,,,,,"58.6","28.2","13.2"
"Keuchel, Dallas","572971","2018","204.2","3.74","L","3309","12.2","18.4","12.8",,"41.1","15.5",,,,,,,"68.8","18.4","12.8"
"Straily, Dan","573185","2018","122.1","4.12","R","2134","43.4","32.9","17","0.7","5.9",,,,,,,,"49.3","33.7","17"
"Covey, Dylan","592229","2018","121.2","5.18","R","2051","0.9","11.7","3.7","9.3","60.2","6.2","8",,,,,,"67.3","21","11.7"
"Foltynewicz, Mike","592314","2018","183.0","2.85","R","3039","40.1","27.3","6.2","10","16.4",,,,,,,,"56.5","37.4","6.2"
"Gausman, Kevin","592332","2018","183.2","3.92","R","3003","58.5","14.4","3.1",,,,"24",,,,,,"58.5","14.4","27.2"
"Gray, Jon","592351","2018","172.1","5.12","R","2793","49.6","34","1.6","14.7","0.1",,,,,,,,"49.7","48.7","1.6"
"Ray, Robbie","592662","2018","123.2","3.93","L","2282","53.9","25.5",,"20.5","0",,,,,,,,"54","46",
"Syndergaard, Noah","592789","2018","154.1","3.03","R","2410","21.2","20.9","15.8","9.8","32.3",,,,,,,,"53.5","30.7","15.8"
"Taillon, Jameson","592791","2018","191.0","3.20","R","2947","35.5","18.4","4.5","19.7","21.9",,,,,,,,"57.3","38.1","4.5"
"Velasquez, Vince","592826","2018","146.2","4.85","R","2471","54.3","14.9","4.7","15.7","10.4",,,,,,,,"64.7","30.6","4.7"
"Williams, Trevor","592866","2018","170.2","3.11","R","2723","51.5","15.1","15.3","0.2","18",,,,,,,,"69.4","15.3","15.3"
"Martinez, Carlos","593372","2018","118.2","3.11","R","1973","18.6","22.4","13.9","2.7","26.3","16.1",,,,,,,"61","25.1","13.9"
"Rodriguez, Eduardo","593958","2018","129.2","3.82","L","2313","39.4","7.2","21.3",,"12.6","19.5",,,,,,,"71.5","7.2","21.3"
"deGrom, Jacob","594798","2018","217.0","1.70","R","3210","42.8","24","16.1","7.9","9.2",,,,,,,,"52","31.9","16.1"
"Gonzales, Marco","594835","2018","166.2","4.00","L","2562","32.2",,"23","22.3",,"22.5",,,,,,,"54.7","22.3","23"
"Junis, Jakob","596001","2018","177.0","4.37","R","2838","33","34.2","5.9","6.6","20.3",,,,,,,,"53.3","40.8","5.9"
"Weaver, Luke","596133","2018","136.1","4.95","R","2385","57.5",,"24.9","12.7","0.1","4.7",,,,,,,"62.4","12.7","24.9"
"Pivetta, Nick","601713","2018","164.0","4.77","R","2815","50.1","16.9","2.2","21.9","8.8",,,,,,,,"58.9","38.8","2.2"
"Bundy, Dylan","605164","2018","171.2","5.45","R","2836","47.8","25.4","10.2","8.6","8",,,,,,,,"55.8","34","10.2"
"Clevinger, Mike","605182","2018","200.0","3.02","R","3262","52.9","21.1","14.1","11.8",,,,,,,,,"52.9","33","14.1"
"Fulmer, Michael","605242","2018","132.1","4.69","R","2146","25.4","22.5","14.4",,"35.4","2.3",,,,,,,"63.1","22.5","14.4"
"Nola, Aaron","605400","2018","212.1","2.37","R","3212","36.5",,"19.8","30.9","12.9",,,,,,,,"49.3","30.9","19.8"
"Snell, Blake","605483","2018","180.2","1.89","L","2913","51.5","9.1","19.2","20.2",,,,,,,,,"51.5","29.3","19.2"
"Suárez, Andrew","605498","2018","160.1","4.49","L","2482","38.7","23.9","11.6","13.3","12.4",,,,,,,,"51.2","37.2","11.6"
"Rodón, Carlos","607074","2018","120.2","4.18","L","1966","47.3","26.2","14.3",,"12.1",,,,,,,,"59.4","26.2","14.3"
"Romano, Sal","607219","2018","145.2","5.31","R","2394","1.9","28.2","5.2","1","63.7",,,,,,,,"65.6","29.2","5.2"
"Freeland, Kyle","607536","2018","202.1","2.85","L","3246","39.9","29.3","13.7","4.6","12.5",,,,,,,,"52.4","33.9","13.7"
"Giolito, Lucas","608337","2018","173.1","6.13","R","3005","39","14.8","15.7","10.1","20.5",,,,,,,,"59.5","24.9","15.7"
"Márquez, Germán","608566","2018","196.0","3.77","R","3117","46","15.8","6.4","22.7","9",,,,,,,,"55","38.6","6.4"
"Stratton, Chris","608717","2018","145.0","5.09","R","2446","51","12.7","10.2","15","8.3","2.9",,,,,,,"62.1","27.7","10.2"
"Chen, Wei-Yin","612672","2018","133.1","4.79","L","2204","53","22.1","11.6","10.3","3",,,,,,,,"56","32.4","11.6"
"Eflin, Zach","621107","2018","128.0","4.36","R","2040","46.4","24.9","11.2","5.7","11.8",,,,,,,,"58.2","30.6","11.2"
"Buehler, Walker","621111","2018","137.1","2.62","R","2079","40.7","15.2","3.9","13.6","18.9","7.7",,,,,,,"67.3","28.8","3.9"
"McCullers Jr., Lance","621121","2018","128.1","3.86","R","2106","0.9",,"16.1","46.6","36.4",,,,,,,,"37.3","46.6","16.1"
"Berríos, José","621244","2018","192.1","3.84","R","2980","34.4",,"9.1","0","26",,,,,"30.4",,,"60.4","30.5","9.1"
"Blach, Ty","621389","2018","118.2","4.25","L","1878",,"5.1","26.1","11.2","57.6",,,,,,,,"57.6","16.3","26.1"
"Wood, Alex","622072","2018","151.2","3.68","L","2443","0",,"26.3","30.7","42.9",,,,,,,,"43","30.7","26.3"
"Castillo, Luis","622491","2018","169.2","4.30","R","2771","36.7","16.4","26.4",,"20.5",,,,,,,,"57.2","16.4","26.4"
"Severino, Luis","622663","2018","191.1","3.39","R","3148","50.5","36","13.6",,,,,,,,,,"50.5","36","13.6"
"López, Reynaldo","625643","2018","188.2","3.91","R","3082","60.7","17.9","15.5","5.8","0.1",,,,,,,,"60.8","23.7","15.5"
"Maeda, Kenta","628317","2018","125.1","3.81","R","1965","41.8","29.5",,"11.1","2.3","0.1","15.2",,,,,,"44.2","40.6","15.2"
"Manaea, Sean","640455","2018","160.2","3.59","L","2346",,"12.4","31.2","0.2","56.2",,,,,,,,"56.2","12.6","31.2"
"Keller, Brad","641745","2018","140.1","3.08","R","2232","44.5","26.2","4.2",,"25.1",,,,,,,,"69.6","26.2","4.2"
"Lauer, Eric","641778","2018","112.0","4.34","L","1921","57.6","7.1","3.7","11.5",,"20",,,,,,,"77.7","18.6","3.7"
"Mahle, Tyler","641816","2018","112.0","4.98","R","2060","67.7","20.5","11.4","0.5",,,,,,,,,"67.7","21","11.4"
"Yarbrough, Ryan","642232","2018","147.1","3.91","L","2395","31.8",,"25","11.1","0.5","31.6",,,,,,,"64","11.1","25"
"Barria, Jaime","642545","2018","129.1","3.41","R","2170","26.3","36","14.4",,"23.3",,,,,,,,"49.5","36","14.4"
"Godley, Zack","643327","2018","178.1","4.74","R","3006","0.1",,"5.3","40.3","32.1","22.2",,,,,,,"54.4","40.3","5.3"
"Flaherty, Jack","656427","2018","151.0","3.34","R","2586","40","29.9","3","11.2","15.9",,,,,,,,"55.9","41.1","3"
"Newcomb, Sean","656794","2018","164.0","3.90","L","2918","62.3","4.3","19.2","14.3",,,,,,,,,"62.3","18.6","19.2"
"Lucchesi, Joey","664192","2018","130.0","4.08","L","2056",,,,"35.8","63.6","0.6",,,,,,,"64.2","35.8",
"Richards, Trevor","670950","2018","126.1","4.42","R","2232","54.8","12.9","32.2",,,"0.1",,,,,,,"54.9","12.9","32.2"
"Wainwright, Adam","425794","2019","171.2","4.19","R","2784","13.6",,"2","36.8","25.1","22.4",,,,,,,"61.1","36.8","2"
"Greinke, Zack","425844","2019","208.2","2.93","R","3085","41.2","16.2","22.1","14.8","5.3","0.1","0.2",,,,,,"46.7","31","22.3"
"Hamels, Cole","430935","2019","141.2","3.81","L","2394","35.5",,"21.3","12.5","12.1","18.6",,,,,,,"66.2","12.5","21.3"
"Verlander, Justin","434378","2019","223.0","2.58","R","3242","49.9","28.7","4.2","17.3",,,,,,,,,"49.9","45.9","4.2"
"Sánchez, Aníbal","434671","2019","166.0","3.85","R","2689","30.1","2.8","4.5","6","9.7","23.5","23.5",,,,,,"63.3","8.7","28"
"Morton, Charlie","450203","2019","194.2","3.05","R","3137","29.8",,,"37.4","19.2","10.4","3.2",,,,,,"59.4","37.4","3.2"
"Vargas, Jason","450306","2019","149.2","4.51","L","2505","27.6",,"35.1","15.2","22.2",,,,,,,,"49.7","15.2","35.1"
"Lester, Jon","452657","2019","171.2","4.46","L","3041","28.3",,"11.9","15.4","10.2","34.2",,,,,,,"72.7","15.4","11.9"
"LeBlanc, Wade","453281","2019","121.1","5.71","L","1955","5.7",,"31.1","10.9","22.1","30.2",,,,,,,"58","10.9","31.1"
"Scherzer, Max","453286","2019","172.1","2.92","R","2769","48.4","20.7","14.5","8.7",,"7.7",,,,,,,"56.2","29.4","14.5"
"Arrieta, Jake","453562","2019","135.2","4.64","R","2192","1","12","18.2","13.4","55.5",,,,,,,,"56.5","25.4","18.2"
"Bailey, Homer","456701","2019","163.1","4.57","R","2805","48.1","14.2",,"8.9","2.4",,"26.4",,,,,,"50.5","23.1","26.4"
"Happ, J.A.","457918","2019","161.1","4.91","L","2695","48.4","17.4","15.9","0.8","17.5",,,,,,,,"65.9","18.3","15.9"
"Lynn, Lance","458681","2019","208.1","3.67","R","3435","54.1",,"3","9.5","17.2","16.2",,,,,,,"87.5","9.5","3"
"Nova, Iván","467100","2019","187.0","4.72","R","3003","17.6",,"16","16.8","36.7","13",,,,,,,"67.2","16.8","16"
"Anderson, Brett","474463","2019","176.0","3.89","L","2659","18.6","18.7","13.4","5.5","43.8",,,,,,,,"62.4","24.1","13.4"
"Kershaw, Clayton","477132","2019","178.1","3.03","L","2575","43.9","39.1","0.6","16.4",,,,,,,,,"43.9","55.5","0.6"
"Cashner, Andrew","488768","2019","150.0","4.68","R","2511","45.3","13.1","27.9","10.8","2.9",,,,,,,,"48.2","23.9","27.9"
"Miley, Wade","489119","2019","167.1","3.98","L","2863","15.8","1","20.7","9.3","6.3","47",,,,,,,"69.1","10.3","20.7"
"Quintana, Jose","500779","2019","171.0","4.68","L","2734","36.3",,"11","21.9","25.5",,,,,"5.3",,,"61.8","27.2","11"
"Pineda, Michael","501381","2019","146.0","4.01","R","2181","54.2","29.4","15.3",,"1.1",,,,,,,,"55.3","29.4","15.3"
"Minor, Mike","501985","2019","208.1","3.59","L","3357","44.6","19.4","24.6","11.4",,,,,,,,,"44.6","30.8","24.6"
"Archer, Chris","502042","2019","119.2","5.19","R","2097","39.6","35.6","12.1","2","10.7",,,,,,,,"50.4","37.6","12.1"
"Gibson, Kyle","502043","2019","160.0","4.84","R","2764","18.2","20.8","16.2","12.8","32.1",,,,,,,,"50.3","33.5","16.2"
"Samardzija, Jeff","502188","2019","181.1","3.52","R","3000","27.7","18.1",,"2.5","19.3","24.9","7.6",,,,,,"71.8","20.5","7.6"
"Leake, Mike","502190","2019","197.0","4.29","R","2968","14.4","12.6","20.7","7.9","18.3","26.1",,,,,,,"58.8","20.5","20.7"
"Anderson, Chase","502624","2019","139.0","4.21","R","2300","43.4",,"24.2","10.3","7.4","14.7",,,,,,,"65.5","10.3","24.2"
"Darvish, Yu","506433","2019","178.2","3.98","R","2848","25.7","31","0.3","7","8.8","5","8.3",,"13.9",,,,"39.5","51.8","8.6"
"Bumgarner, Madison","518516","2019","207.2","3.90","L","3239","42.8",,"5.3","18.3","0.1","33.4",,,,,,,"76.3","18.3","5.3"
"Duffy, Danny","518633","2019","130.2","4.34","L","2161","44.2","26.3","11.5","9","8.9",,,,,,,,"53.1","35.4","11.5"
"Kelly, Merrill","518876","2019","183.1","4.42","R","2960","37.4",,"13.4","21.4","9.7","18.2",,,,,,,"65.2","21.4","13.4"
"Porcello, Rick","519144","2019","174.1","5.52","R","2960","31.5","18.6","11.8","12.6","25.6",,,,,,,,"57","31.2","11.8"
"Sale, Chris","519242","2019","147.1","4.40","L","2465","35.8","38.4","15.6",,"10.2",,,,,,,,"46","38.4","15.6"
"Zimmermann, Jordan","519455","2019","112.0","6.91","R","1866","34.4","31.6","2.1","19.5","12.4",,,,,,,,"46.8","51.1","2.1"
"Pérez, Martín","527048","2019","165.1","5.12","L","2771","17.5",,"22.2","4.7","24.8","30.8",,,,,,,"73.1","4.7","22.2"
"Teheran, Julio","527054","2019","174.2","3.81","R","3034","41.7","21","8.2","6.5","22.7",,,,,,,,"64.4","27.4","8.2"
"Cole, Gerrit","543037","2019","212.1","2.50","R","3360","51.6","23.2","7.4","15.4","2.4",,,,,,,,"54","38.6","7.4"
"DeSclafani, Anthony","543101","2019","166.2","3.89","R","2587","37.2","24.3","5.4","15.1","18.1",,,,,,,,"55.3","39.4","5.4"
"Gray, Sonny","543243","2019","175.1","2.87","R","2807","28.4","0.4","5.1","25.2","19.4","0.6",,,"20.9",,,,"48.4","46.5","5.1"
"Hendricks, Kyle","543294","2019","177.0","3.46","R","2690","20.5",,"28.1","9.8","41.6",,,,,,,,"62.2","9.8","28.1"
"Lyles, Jordan","543475","2019","141.0","4.15","R","2377","50.2","9.7","7","31.3","1.7",,,,,,,,"52","41.1","7"
"Odorizzi, Jake","543606","2019","159.0","3.51","R","2786","57.9",,,"6.5",,"18.4","17.1",,,,,,"76.4","6.5","17.1"
"Roark, Tanner","543699","2019","165.1","4.35","R","2884","25.5","21.8","9.8","12.8","30",,,,,,,,"55.5","34.6","9.8"
"Strasburg, Stephen","544931","2019","209.0","3.32","R","3383","28.6","0.4","20.7","30.7","19.7",,,,,,,,"48.3","31","20.7"
"Bauer, Trevor","545333","2019","213.0","4.48","R","3685","38.5",,"7.7","19.7","3.8","16.5",,,"13.9",,,,"58.7","33.6","7.7"
"Tanaka, Masahiro","547888","2019","182.0","4.45","R","2787","27.5","36.4",,"3.2","4.6","1.6","26.7",,,,,,"33.8","39.6","26.7"
"Ryu, Hyun Jin","547943","2019","182.2","2.32","L","2705","27.3","0.3","27.5","12.2","13.3","19.4",,,,,,,"60","12.5","27.5"
"Wheeler, Zack","554430","2019","195.1","3.96","R","3158","30",,"9.2","9.9","28.9","20","1.9",,,,,,"78.9","9.9","11.1"
"Boyd, Matthew","571510","2019","185.1","4.56","L","3101","49.8","36.2","6.1","4","3.9","0",,,,,,,"53.8","40.2","6.1"
"Corbin, Patrick","571578","2019","202.0","3.25","L","3299","19.4","37.1","5.7","3.5","34.3",,,,,,,,"53.7","40.6","5.7"
"Fiers, Mike","571666","2019","184.2","3.90","R","2837","32.7","17.7","12.5","17.4","19.6",,,,,,,,"52.3","35.1","12.5"
"Matz, Steven","571927","2019","160.1","4.21","L","2701",,"14.5","20.1","14.8","50.6",,,,,,,,"50.6","29.3","20.1"
"Mikolas, Miles","571945","2019","184.0","4.16","R","2804","27.6","23.4","3.8","21.4","23.8",,,,,,,,"51.4","44.8","3.8"
"Paxton, James","572020","2019","150.2","3.82","L","2663","59.9",,"1.2","18.9",,"20",,,,,,,"79.9","18.9","1.2"
"Stroman, Marcus","573186","2019","184.1","3.22","R","3045","2.1",,"5.3","1.1","36.5","24.4",,,,"30.6",,,"63","31.7","5.3"
"Kikuchi, Yusei","579328","2019","161.2","5.46","L","2628","48.9","28","7.6","15.4",,,,,,,,,"48.9","43.5","7.6"
"Gray, Jon","592351","2019","150.0","3.84","R","2372","51.3","33.5","2.9","11.1","1.2",,,,,,,,"52.5","44.6","2.9"
"Ray, Robbie","592662","2019","174.1","4.34","L","3058","42.7","30.8",,"16.5","10",,,,,,,,"52.7","47.3",
"Sampson, Adrian","592716","2019","125.1","5.89","R","2056",,"33.2","12.5","0.1","54.2",,,,,,,,"54.2","33.3","12.5"
"Sanchez, Aaron","592717","2019","131.1","5.89","R","2304","36.4",,"19.4","23.1","21.1",,,,,,,,"57.5","23.1","19.4"
"Smith, Caleb","592761","2019","153.1","4.52","L","2661","53.8","31.6","14.7",,,,,,,,,,"53.8","31.6","14.7"
"Smyly, Drew","592767","2019","114.0","6.24","L","2130",,,"4.8","29.2","47.7","18.3",,,,,,,"66","29.2","4.8"
"Syndergaard, Noah","592789","2019","197.2","4.28","R","3090","29.3","15.2","16.2","9.5","29.8",,,,,,,,"59.1","24.7","16.2"
"Velasquez, Vince","592826","2019","117.1","4.91","R","2119","62.5","20",,"12.2","5.3",,,,,,,,"67.8","32.2",
"Williams, Trevor","592866","2019","145.2","5.38","R","2327","51.9","20.1","12.1","0.9","15",,,,,,,,"66.9","21","12.1"
"Germán, Domingo","593334","2019","143.0","4.03","R","2247","34.4",,"19","36.1","10.5",,,,,,,,"44.9","36.1","19"
"Rodriguez, Eduardo","593958","2019","203.1","3.81","L","3495","38.7","2.4","23.7","3.2","15.8","16.2",,,,,,,"70.7","5.6","23.7"
"deGrom, Jacob","594798","2019","204.0","2.43","R","3190","48.2","32","15.8","2.9","1.1",,,,,,,,"49.2","35","15.8"
"Gonzales, Marco","594835","2019","203.0","3.99","L","3162","39.4",,"24.1","15.9",,"20.7",,,,,,,"60.1","15.9","24.1"
"Beede, Tyler","595881","2019","117.0","5.08","R","2026","56.1","11.5","18.7","13.7","0",,,,,,,,"56.2","25.2","18.7"
"Junis, Jakob","596001","2019","175.1","5.24","R","2924","33.7","29.7","5.4","14.1","17.3",,,,,,,,"50.9","43.7","5.4"
"Norris, Daniel","596057","2019","144.1","4.49","L","2360","45","22.8","19","6.5","6.7",,,,,,,,"51.7","29.3","19"
"Bassitt, Chris","605135","2019","144.0","3.81","R","2410","23.9","0.1","8.4","12.8","41.1","13.7",,,,,,,"78.7","12.9","8.4"
"Bundy, Dylan","605164","2019","161.2","4.79","R","2778","42.4","22.8","17.4","9.9","7.5",,,,,,,,"49.9","32.7","17.4"
"Davies, Zach","605200","2019","159.2","3.55","R","2678",,"0.7","31.3","3.5","52.6","11.8",,,,,,,"64.4","4.3","31.3"
"López, Jorge","605347","2019","123.2","6.33","R","2059","31.9","6","7.5","32.2","22.5",,,,,,,,"54.3","38.2","7.5"
"Musgrove, Joe","605397","2019","170.1","4.44","R","2654","37.6","22.1","10.6","9.5","11.9","8.4",,,,,,,"57.9","31.6","10.6"
"Nola, Aaron","605400","2019","202.1","3.87","R","3331","35.4",,"18.6","35.2","10.8",,,,,,,,"46.2","35.2","18.6"
"Turnbull, Spencer","605513","2019","148.1","4.61","R","2658","44.8","20.7","2.9","12.1","19.5",,,,,,,,"64.3","32.8","2.9"
"Means, John","607644","2019","155.0","3.60","L","2680","50.7","14.4","28.9","1.8",,,,,,"4.1",,,"50.7","20.3","28.9"
"Fried, Max","608331","2019","165.2","4.02","L","2669","53.1","15.9","2.4","24.7","3.5","0.3",,,,,,,"57","40.7","2.4"
"Giolito, Lucas","608337","2019","176.2","3.41","R","2814","55","14.7","26.2","4.1",,,,,,,,,"55","18.8","26.2"
"Wacha, Michael","608379","2019","126.2","4.76","R","2199","49.5",,"23.8","10.3","0.9","15.5",,,,,,,"65.9","10.3","23.8"
"Márquez, Germán","608566","2019","174.0","4.76","R","2616","35.4","21.1","3","23.5","17",,,,,,,,"52.4","44.6","3"
"Eflin, Zach","621107","2019","163.1","4.13","R","2571","33.6","30.7","7.9","5.4","21.9","0.5",,,,,,,"56","36.1","7.9"
"Buehler, Walker","621111","2019","182.1","3.26","R","2831","53.2","14.2","0.5","12","7.1","13",,,,,,,"73.3","26.2","0.5"
"Berríos, José","621244","2019","200.1","3.68","R","3132","32.2",,"15.9","0.6","23.1",,,,,"28.3",,,"55.3","28.9","15.9"
"Castillo, Luis","622491","2019","190.2","3.40","R","3068","29.7","16.9","32.5",,"20.8",,,,,,,,"50.6","16.9","32.5"
"Senzatela, Antonio","622608","2019","124.2","6.71","R","2237","61.9","19.5","8","10.6",,,,,,,,,"61.9","30.1","8"
"López, Reynaldo","625643","2019","184.0","5.38","R","3160","58.5","18.3","14.8","8.4",,,,,,,,,"58.5","26.6","14.8"
"Maeda, Kenta","628317","2019","153.2","4.04","R","2433","34.2","31.1",,"7.3","3.2",,"24.1",,,,,,"37.4","38.4","24.1"
