"last_name, first_name","player_id","year","p_formatted_ip","p_era","pitch_hand","n","n_ff_formatted","n_sl_formatted","n_ch_formatted","n_cu_formatted","n_si_formatted","n_fc_formatted","n_fs_formatted","n_kn_formatted","n_st_formatted","n_sv_formatted","n_fo_formatted","n_sc_formatted","n_fastball_formatted","n_breaking_formatted","n_offspeed_formatted"
"Rodriguez, Eduardo","593958","2015","121.2","3.85","L","2005","66.5","11.9","19.2",,"2.4",,,,,,,,"69","11.9","19.2"
"deGrom, Jacob","594798","2015","191.0","2.54","R","2967","46.3","15.8","12","9.8","16",,,,,,,,"62.3","25.6","12"
"Rodón, Carlos","607074","2015","139.1","3.75","L","2441","29","30.4","8.8",,"31.7",,,,,,,,"60.8","30.4","8.8"
"Martinez, Nick","607259","2015","125.0","3.96","R","2113","39","21.9","10.8","6.2","22.1",,,,,,,,"61.1","28","10.8"
"Wacha, Michael","608379","2015","181.1","3.38","R","2919","58.3",,"16.5","12.6",,"12.6",,,,,,,"70.9","12.6","16.5"
"Graveman, Kendall","608665","2015","115.2","4.05","R","1897","4.5","9.2","11.9","0.8","50.2","23.4",,,,,,,"78.1","10","11.9"
"Chen, Wei-Yin","612672","2015","191.1","3.34","L","3009","43.5","17","10.2","8.5","20.7",,,,,,,,"64.2","25.6","10.2"
"McCullers Jr., Lance","621121","2015","125.2","3.22","R","2099","51.9",,"9.7","36.4","2.1",,,,,,,,"54","36.4","9.7"
"Wood, Alex","622072","2015","189.2","3.84","L","2895",,,"18.9","22.1","59",,,,,,,,"59","22.1","18.9"
"Despaigne, Odrisamer","628333","2015","125.2","5.80","R","1910","30.1","6.8","10.7","10.2","32.6","9.6",,,,,,,"72.3","17","10.7"
"Colon, Bartolo","112526","2016","191.2","3.43","R","2843","25.9","6.3","4.3",,"63.5",,,,,,,,"89.4","6.3","4.3"
"Sabathia, CC","282332","2016","179.2","3.91","L","2908","35.7","22.9","5.7",,"35.7",,,,,,,,"71.4","22.9","5.7"
"Dickey, R.A.","285079","2016","169.2","4.46","R","2662","13",,,,,,,"87",,,,,"13","87",
